Index,Hours,Julian_day,Week_day,T_°C,SR_W/m2,p_mb,Prec_mm,RH_%,WD_°,WS_m/s,Class
1.0,0.0,1.0,2.0,11.94,0.0,727.81,0.0,88.32,200.28,0.87,1
16.0,15.0,1.0,2.0,17.85,306.32,724.53,0.0,43.06,92.28,2.5,0
32.0,7.0,2.0,3.0,9.39,21.19,724.8,0.0,64.57,232.68,0.86,1
44.0,19.0,2.0,3.0,15.66,0.0,723.92,0.0,61.68,27.72,2.52,0
67.0,18.0,3.0,4.0,16.88,48.01,722.87,0.0,62.67,69.0,2.87,1
55.0,6.0,3.0,4.0,10.77,0.0,724.53,0.0,92.93,142.8,1.01,0
83.0,10.0,4.0,5.0,15.62,340.73,726.18,0.0,70.11,145.92,1.72,1
94.0,21.0,4.0,5.0,14.65,0.0,725.83,0.0,69.04,130.2,2.06,0
117.0,20.0,5.0,6.0,14.05,0.0,726.18,0.1,80.33,293.88,1.29,1
109.0,12.0,5.0,6.0,18.31,611.48,726.18,0.0,56.32,148.92,1.6,0
139.0,18.0,6.0,0.0,12.57,5.31,724.79,1.3,93.99,159.12,2.02,1
141.0,20.0,6.0,0.0,11.87,0.0,726.18,0.3,94.35,128.64,1.32,0
158.0,13.0,7.0,1.0,14.4,81.63,726.18,0.0,72.65,94.92,1.62,1
160.0,15.0,7.0,1.0,12.04,126.32,724.76,0.9,92.03,26.88,1.2,0
187.0,18.0,8.0,2.0,11.94,2.64,724.61,4.7,94.09,86.64,1.27,1
186.0,17.0,8.0,2.0,13.23,50.08,724.53,0.1,84.58,115.92,1.74,0
202.0,9.0,9.0,3.0,12.46,197.76,727.69,0.0,86.98,171.72,1.08,1
216.0,23.0,9.0,3.0,11.83,0.0,727.26,0.4,90.75,140.04,0.88,0
232.0,15.0,10.0,4.0,14.39,304.4,724.53,0.0,77.22,151.68,1.48,1
226.0,9.0,10.0,4.0,12.4,132.2,726.42,0.1,86.17,106.56,0.92,0
261.0,20.0,11.0,5.0,12.72,0.0,726.18,0.0,82.82,297.12,0.75,1
252.0,11.0,11.0,5.0,16.69,682.17,727.54,0.0,66.31,150.96,1.7,0
285.0,20.0,12.0,6.0,12.11,0.0,726.45,2.3,85.65,236.64,3.1,1
277.0,12.0,12.0,6.0,19.95,921.08,726.99,0.0,39.99,185.16,1.79,0
297.0,8.0,13.0,0.0,11.81,169.52,727.47,0.0,75.39,52.44,1.13,1
311.0,22.0,13.0,0.0,12.32,0.0,727.83,0.0,90.68,179.64,0.82,0
332.0,19.0,14.0,1.0,13.98,0.0,725.75,0.0,76.99,213.6,0.96,1
329.0,16.0,14.0,1.0,17.06,161.06,724.53,0.0,62.7,138.6,3.25,0
344.0,7.0,15.0,2.0,9.41,13.41,726.18,0.0,80.18,216.6,1.14,1
342.0,5.0,15.0,2.0,9.02,0.0,726.15,0.0,84.18,248.88,0.8,0
368.0,7.0,16.0,3.0,11.43,15.29,726.18,0.0,71.97,188.52,1.74,1
377.0,16.0,16.0,3.0,18.96,474.81,722.87,0.0,50.05,69.96,4.11,0
393.0,8.0,17.0,4.0,13.72,165.72,726.18,0.0,81.73,146.04,1.06,1
394.0,9.0,17.0,4.0,16.2,421.15,726.18,0.0,60.32,173.52,2.59,0
417.0,8.0,18.0,5.0,12.64,128.89,727.36,0.0,76.16,94.56,1.24,1
431.0,22.0,18.0,5.0,13.76,0.0,727.29,0.0,63.09,235.2,2.13,0
453.0,20.0,19.0,6.0,15.06,0.0,726.43,0.0,70.45,29.76,2.09,1
448.0,15.0,19.0,6.0,18.16,383.04,726.04,0.0,50.0,75.48,3.0,0
465.0,8.0,20.0,0.0,12.93,154.87,726.71,0.0,78.19,161.04,1.28,1
477.0,20.0,20.0,0.0,14.91,0.0,726.17,0.0,67.39,24.72,2.01,0
489.0,8.0,21.0,1.0,12.4,140.73,726.86,0.0,84.52,135.24,0.87,1
499.0,18.0,21.0,1.0,16.85,107.43,724.53,0.0,63.56,87.36,2.32,0
524.0,19.0,22.0,2.0,14.0,0.0,724.98,0.0,88.66,155.04,1.83,1
517.0,12.0,22.0,2.0,17.09,464.92,726.34,0.0,63.94,72.24,1.86,0
548.0,19.0,23.0,3.0,16.21,0.0,725.34,0.0,57.62,130.68,1.95,1
534.0,5.0,23.0,3.0,12.32,0.0,726.17,0.0,91.56,200.76,1.29,0
563.0,10.0,24.0,4.0,16.45,678.65,727.84,0.0,51.99,130.92,1.65,1
555.0,2.0,24.0,4.0,12.06,0.0,726.89,0.0,83.54,235.32,1.19,0
578.0,1.0,25.0,5.0,12.08,0.0,727.7,0.0,90.74,127.92,1.01,1
583.0,6.0,25.0,5.0,11.17,0.0,726.18,0.0,79.91,275.16,0.86,0
601.0,0.0,26.0,6.0,10.67,0.0,727.86,0.0,93.98,175.68,1.77,1
604.0,3.0,26.0,6.0,10.81,0.0,726.18,0.0,85.46,252.36,1.6,0
632.0,7.0,27.0,0.0,11.3,0.28,726.17,0.0,97.54,157.08,1.05,1
636.0,11.0,27.0,0.0,15.87,363.37,726.23,0.0,66.28,197.16,1.59,0
657.0,8.0,28.0,1.0,12.24,122.61,726.18,0.0,89.08,169.56,0.99,1
649.0,0.0,28.0,1.0,12.4,0.0,726.68,0.0,91.89,116.88,1.1,0
683.0,10.0,29.0,2.0,15.89,590.28,726.18,0.1,68.46,157.32,1.32,1
682.0,9.0,29.0,2.0,13.65,257.02,726.18,0.0,80.71,145.56,1.06,0
714.0,17.0,30.0,3.0,16.39,155.9,723.63,0.0,59.67,25.92,2.65,1
708.0,11.0,30.0,3.0,17.81,805.99,726.18,0.0,51.82,76.68,1.63,0
730.0,9.0,31.0,4.0,14.96,430.99,725.88,0.0,60.49,179.76,2.92,1
737.0,16.0,31.0,4.0,19.02,574.52,722.87,0.0,51.84,72.48,3.45,0
753.0,8.0,32.0,5.0,11.58,167.06,725.37,0.0,83.6,208.8,0.9,1
748.0,3.0,32.0,5.0,10.28,0.0,724.53,0.0,91.9,195.36,1.16,0
777.0,8.0,33.0,6.0,12.41,171.16,726.18,0.0,74.85,204.72,1.24,1
771.0,2.0,33.0,6.0,11.54,0.0,726.07,0.0,92.34,190.92,1.33,0
801.0,8.0,34.0,0.0,12.02,147.93,726.17,0.0,83.98,177.6,2.03,1
812.0,19.0,34.0,0.0,13.66,0.0,724.56,0.0,84.07,165.24,1.91,0
836.0,19.0,35.0,1.0,11.98,0.0,725.3,0.0,89.73,151.08,1.67,1
829.0,12.0,35.0,1.0,18.9,892.54,725.88,0.0,54.54,74.76,1.85,0
857.0,16.0,36.0,2.0,14.52,156.41,724.54,0.0,70.29,82.94,1.27,1
842.0,1.0,36.0,2.0,11.76,0.0,726.21,0.0,88.46,183.0,1.11,0
883.0,18.0,37.0,3.0,15.64,66.2,724.53,0.0,62.5,172.56,3.49,1
876.0,11.0,37.0,3.0,17.63,924.06,726.29,0.0,53.02,108.48,2.0,0
898.0,9.0,38.0,4.0,14.84,431.17,726.38,0.0,67.72,127.56,1.35,1
910.0,21.0,38.0,4.0,13.54,0.0,726.17,0.0,85.41,123.96,1.75,0
933.0,20.0,39.0,5.0,14.65,0.0,724.87,0.0,71.05,81.12,1.71,1
924.0,11.0,39.0,5.0,18.02,544.37,726.18,0.0,55.35,104.52,1.67,0
958.0,21.0,40.0,6.0,13.88,0.0,725.59,0.0,78.28,87.72,1.42,1
954.0,17.0,40.0,6.0,17.17,236.34,722.87,0.0,57.41,188.04,3.83,0
972.0,11.0,41.0,0.0,15.76,247.7,726.18,0.0,67.18,83.28,2.0,1
975.0,14.0,41.0,0.0,17.75,161.21,724.89,0.0,49.23,28.68,1.7,0
994.0,9.0,42.0,1.0,15.23,295.46,726.18,0.0,59.89,89.4,0.94,1
1004.0,19.0,42.0,1.0,15.11,0.0,724.54,0.0,68.84,70.2,2.95,0
1017.0,8.0,43.0,2.0,11.39,136.39,726.18,0.0,82.0,266.4,0.95,1
1016.0,7.0,43.0,2.0,9.24,8.12,725.55,0.0,92.6,298.56,0.93,0
1041.0,8.0,44.0,3.0,11.49,144.68,726.19,0.0,88.53,136.32,1.22,1
1043.0,10.0,44.0,3.0,17.57,656.75,726.18,0.0,53.48,162.84,1.59,0
1078.0,21.0,45.0,4.0,11.96,0.0,727.19,0.6,94.77,142.32,1.02,1
1068.0,11.0,45.0,4.0,18.26,906.54,727.83,0.0,57.82,144.6,2.11,0
1081.0,0.0,46.0,5.0,12.11,0.0,727.84,0.0,93.39,146.4,1.19,1
1095.0,14.0,46.0,5.0,20.32,819.79,724.89,0.0,44.55,139.44,2.9,0
1123.0,18.0,47.0,6.0,14.86,13.42,724.53,0.1,74.7,185.16,1.55,1
1122.0,17.0,47.0,6.0,16.56,45.63,724.28,0.1,61.89,115.56,2.49,0
1146.0,17.0,48.0,0.0,17.21,119.64,723.36,0.0,59.78,155.52,2.62,1
1152.0,23.0,48.0,0.0,12.53,0.0,726.19,0.0,91.06,172.32,1.28,0
1160.0,7.0,49.0,1.0,10.66,9.88,726.1,0.0,84.36,262.56,0.72,1
1166.0,13.0,49.0,1.0,18.57,838.23,725.46,0.0,52.65,85.2,3.6,0
1179.0,2.0,50.0,2.0,11.95,0.0,725.77,0.0,95.28,165.84,1.33,1
1197.0,20.0,50.0,2.0,13.22,0.0,724.53,0.0,89.57,121.8,1.57,0
1211.0,10.0,51.0,3.0,17.11,656.02,726.18,0.1,65.66,158.04,1.95,1
1201.0,0.0,51.0,3.0,12.45,0.0,726.18,3.1,95.11,168.48,1.25,0
1244.0,19.0,52.0,4.0,13.53,0.0,724.58,0.0,88.02,137.16,1.99,1
1237.0,12.0,52.0,4.0,15.94,299.74,726.18,0.0,69.71,69.6,1.57,0
1259.0,10.0,53.0,5.0,16.67,552.65,726.22,0.0,61.61,157.32,1.71,1
1254.0,5.0,53.0,5.0,11.33,0.0,724.81,0.0,92.33,130.56,1.34,0
1292.0,19.0,54.0,6.0,14.24,0.0,724.56,0.0,75.12,26.28,2.41,1
1290.0,17.0,54.0,6.0,15.06,101.88,724.51,0.0,74.32,25.2,2.86,0
1315.0,18.0,55.0,0.0,14.93,60.08,724.53,0.0,80.66,115.56,1.53,1
1302.0,5.0,55.0,0.0,12.03,0.0,724.57,0.0,91.05,74.52,0.81,0
1331.0,10.0,56.0,1.0,14.58,208.67,726.77,0.0,80.16,133.92,1.35,1
1341.0,20.0,56.0,1.0,14.76,0.0,724.7,0.0,73.69,59.04,1.78,0
1354.0,9.0,57.0,2.0,13.81,316.24,726.89,0.0,80.42,161.4,1.47,1
1358.0,13.0,57.0,2.0,19.7,690.31,725.32,0.0,45.54,22.8,2.12,0
1380.0,11.0,58.0,3.0,17.26,538.87,727.33,0.0,62.91,158.28,1.6,1
1386.0,17.0,58.0,3.0,13.99,62.49,725.19,0.0,82.99,141.48,1.9,0
1402.0,9.0,59.0,4.0,14.32,444.57,727.84,0.0,74.44,99.0,1.36,1
